season,homeTeam,awayTeam,winnerName,loserName,matchScore,goalsHome,goalsAway,matchDuration
2022,Liverpool FC,West Ham United FC,Liverpool FC,West Ham United FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Newcastle United FC,Everton FC,Newcastle United FC,Everton FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Brentford FC,Chelsea FC,Draw,Draw,DRAW,0.0,0.0,REGULAR
2022,AFC Bournemouth,Southampton FC,Southampton FC,AFC Bournemouth,AWAY_TEAM,0.0,1.0,REGULAR
2022,Manchester United FC,Tottenham Hotspur FC,Manchester United FC,Tottenham Hotspur FC,HOME_TEAM,2.0,0.0,REGULAR
2022,Fulham FC,Aston Villa FC,Fulham FC,Aston Villa FC,HOME_TEAM,3.0,0.0,REGULAR
2022,Leicester City FC,Leeds United FC,Leicester City FC,Leeds United FC,HOME_TEAM,2.0,0.0,REGULAR
2022,Nottingham Forest FC,Liverpool FC,Nottingham Forest FC,Liverpool FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Manchester City FC,Brighton & Hove Albion FC,Manchester City FC,Brighton & Hove Albion FC,HOME_TEAM,3.0,1.0,REGULAR
2022,Everton FC,Crystal Palace FC,Everton FC,Crystal Palace FC,HOME_TEAM,3.0,0.0,REGULAR
2022,Chelsea FC,Manchester United FC,Draw,Draw,DRAW,1.0,1.0,REGULAR
2022,Southampton FC,Arsenal FC,Draw,Draw,DRAW,1.0,1.0,REGULAR
2022,Leeds United FC,Fulham FC,Fulham FC,Leeds United FC,AWAY_TEAM,2.0,3.0,REGULAR
2022,Aston Villa FC,Brentford FC,Aston Villa FC,Brentford FC,HOME_TEAM,4.0,0.0,REGULAR
2022,Wolverhampton Wanderers FC,Leicester City FC,Leicester City FC,Wolverhampton Wanderers FC,AWAY_TEAM,0.0,4.0,REGULAR
2022,Tottenham Hotspur FC,Newcastle United FC,Newcastle United FC,Tottenham Hotspur FC,AWAY_TEAM,1.0,2.0,REGULAR
2022,West Ham United FC,AFC Bournemouth,West Ham United FC,AFC Bournemouth,HOME_TEAM,2.0,0.0,REGULAR
2022,Leicester City FC,Manchester City FC,Manchester City FC,Leicester City FC,AWAY_TEAM,0.0,1.0,REGULAR
2022,Newcastle United FC,Aston Villa FC,Newcastle United FC,Aston Villa FC,HOME_TEAM,4.0,0.0,REGULAR
2022,Crystal Palace FC,Southampton FC,Crystal Palace FC,Southampton FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Brighton & Hove Albion FC,Chelsea FC,Brighton & Hove Albion FC,Chelsea FC,HOME_TEAM,4.0,1.0,REGULAR
2022,Brentford FC,Wolverhampton Wanderers FC,Draw,Draw,DRAW,1.0,1.0,REGULAR
2022,AFC Bournemouth,Tottenham Hotspur FC,Tottenham Hotspur FC,AFC Bournemouth,AWAY_TEAM,2.0,3.0,REGULAR
2022,Fulham FC,Everton FC,Draw,Draw,DRAW,0.0,0.0,REGULAR
2022,Liverpool FC,Leeds United FC,Leeds United FC,Liverpool FC,AWAY_TEAM,1.0,2.0,REGULAR
2022,Arsenal FC,Nottingham Forest FC,Arsenal FC,Nottingham Forest FC,HOME_TEAM,5.0,0.0,REGULAR
2022,Manchester United FC,West Ham United FC,Manchester United FC,West Ham United FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Wolverhampton Wanderers FC,Brighton & Hove Albion FC,Brighton & Hove Albion FC,Wolverhampton Wanderers FC,AWAY_TEAM,2.0,3.0,REGULAR
2022,Nottingham Forest FC,Brentford FC,Draw,Draw,DRAW,2.0,2.0,REGULAR
2022,Manchester City FC,Fulham FC,Manchester City FC,Fulham FC,HOME_TEAM,2.0,1.0,REGULAR
2022,Leeds United FC,AFC Bournemouth,Leeds United FC,AFC Bournemouth,HOME_TEAM,4.0,3.0,REGULAR
2022,Everton FC,Leicester City FC,Leicester City FC,Everton FC,AWAY_TEAM,0.0,2.0,REGULAR
2022,Chelsea FC,Arsenal FC,Arsenal FC,Chelsea FC,AWAY_TEAM,0.0,1.0,REGULAR
2022,West Ham United FC,Crystal Palace FC,Crystal Palace FC,West Ham United FC,AWAY_TEAM,1.0,2.0,REGULAR
2022,Southampton FC,Newcastle United FC,Newcastle United FC,Southampton FC,AWAY_TEAM,1.0,4.0,REGULAR
2022,Aston Villa FC,Manchester United FC,Aston Villa FC,Manchester United FC,HOME_TEAM,3.0,1.0,REGULAR
2022,Tottenham Hotspur FC,Liverpool FC,Liverpool FC,Tottenham Hotspur FC,AWAY_TEAM,1.0,2.0,REGULAR
2022,Manchester City FC,Brentford FC,Brentford FC,Manchester City FC,AWAY_TEAM,1.0,2.0,REGULAR
2022,West Ham United FC,Leicester City FC,Leicester City FC,West Ham United FC,AWAY_TEAM,0.0,2.0,REGULAR
2022,Tottenham Hotspur FC,Leeds United FC,Tottenham Hotspur FC,Leeds United FC,HOME_TEAM,4.0,3.0,REGULAR
2022,Nottingham Forest FC,Crystal Palace FC,Nottingham Forest FC,Crystal Palace FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Liverpool FC,Southampton FC,Liverpool FC,Southampton FC,HOME_TEAM,3.0,1.0,REGULAR
2022,AFC Bournemouth,Everton FC,AFC Bournemouth,Everton FC,HOME_TEAM,3.0,0.0,REGULAR
2022,Newcastle United FC,Chelsea FC,Newcastle United FC,Chelsea FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Wolverhampton Wanderers FC,Arsenal FC,Arsenal FC,Wolverhampton Wanderers FC,AWAY_TEAM,0.0,2.0,REGULAR
2022,Brighton & Hove Albion FC,Aston Villa FC,Aston Villa FC,Brighton & Hove Albion FC,AWAY_TEAM,1.0,2.0,REGULAR
2022,Fulham FC,Manchester United FC,Manchester United FC,Fulham FC,AWAY_TEAM,1.0,2.0,REGULAR
2022,Brentford FC,Tottenham Hotspur FC,Draw,Draw,DRAW,2.0,2.0,REGULAR
2022,Southampton FC,Brighton & Hove Albion FC,Brighton & Hove Albion FC,Southampton FC,AWAY_TEAM,1.0,3.0,REGULAR
2022,Leicester City FC,Newcastle United FC,Newcastle United FC,Leicester City FC,AWAY_TEAM,0.0,3.0,REGULAR
2022,Everton FC,Wolverhampton Wanderers FC,Wolverhampton Wanderers FC,Everton FC,AWAY_TEAM,1.0,2.0,REGULAR
2022,Crystal Palace FC,Fulham FC,Fulham FC,Crystal Palace FC,AWAY_TEAM,0.0,3.0,REGULAR
2022,Aston Villa FC,Liverpool FC,Liverpool FC,Aston Villa FC,AWAY_TEAM,1.0,3.0,REGULAR
2022,Arsenal FC,West Ham United FC,Arsenal FC,West Ham United FC,HOME_TEAM,3.0,1.0,REGULAR
2022,Chelsea FC,AFC Bournemouth,Chelsea FC,AFC Bournemouth,HOME_TEAM,2.0,0.0,REGULAR
2022,Manchester United FC,Nottingham Forest FC,Manchester United FC,Nottingham Forest FC,HOME_TEAM,3.0,0.0,REGULAR
2022,Leeds United FC,Manchester City FC,Manchester City FC,Leeds United FC,AWAY_TEAM,1.0,3.0,REGULAR
2022,West Ham United FC,Brentford FC,Brentford FC,West Ham United FC,AWAY_TEAM,0.0,2.0,REGULAR
2022,Liverpool FC,Leicester City FC,Liverpool FC,Leicester City FC,HOME_TEAM,2.0,1.0,REGULAR
2022,Wolverhampton Wanderers FC,Manchester United FC,Manchester United FC,Wolverhampton Wanderers FC,AWAY_TEAM,0.0,1.0,REGULAR
2022,Newcastle United FC,Leeds United FC,Draw,Draw,DRAW,0.0,0.0,REGULAR
2022,Manchester City FC,Everton FC,Draw,Draw,DRAW,1.0,1.0,REGULAR
2022,Fulham FC,Southampton FC,Fulham FC,Southampton FC,HOME_TEAM,2.0,1.0,REGULAR
2022,AFC Bournemouth,Crystal Palace FC,Crystal Palace FC,AFC Bournemouth,AWAY_TEAM,0.0,2.0,REGULAR
2022,Brighton & Hove Albion FC,Arsenal FC,Arsenal FC,Brighton & Hove Albion FC,AWAY_TEAM,2.0,4.0,REGULAR
2022,Tottenham Hotspur FC,Aston Villa FC,Aston Villa FC,Tottenham Hotspur FC,AWAY_TEAM,0.0,2.0,REGULAR
2022,Nottingham Forest FC,Chelsea FC,Draw,Draw,DRAW,1.0,1.0,REGULAR
2022,Brentford FC,Liverpool FC,Brentford FC,Liverpool FC,HOME_TEAM,3.0,1.0,REGULAR
2022,Leicester City FC,Fulham FC,Fulham FC,Leicester City FC,AWAY_TEAM,0.0,1.0,REGULAR
2022,Everton FC,Brighton & Hove Albion FC,Brighton & Hove Albion FC,Everton FC,AWAY_TEAM,1.0,4.0,REGULAR
2022,Arsenal FC,Newcastle United FC,Draw,Draw,DRAW,0.0,0.0,REGULAR
2022,Manchester United FC,AFC Bournemouth,Manchester United FC,AFC Bournemouth,HOME_TEAM,3.0,0.0,REGULAR
2022,Southampton FC,Nottingham Forest FC,Nottingham Forest FC,Southampton FC,AWAY_TEAM,0.0,1.0,REGULAR
2022,Leeds United FC,West Ham United FC,Draw,Draw,DRAW,2.0,2.0,REGULAR
2022,Crystal Palace FC,Tottenham Hotspur FC,Tottenham Hotspur FC,Crystal Palace FC,AWAY_TEAM,0.0,4.0,REGULAR
2022,Aston Villa FC,Wolverhampton Wanderers FC,Draw,Draw,DRAW,1.0,1.0,REGULAR
2022,Chelsea FC,Manchester City FC,Manchester City FC,Chelsea FC,AWAY_TEAM,0.0,1.0,REGULAR
2022,Fulham FC,Chelsea FC,Fulham FC,Chelsea FC,HOME_TEAM,2.0,1.0,REGULAR
2022,Aston Villa FC,Leeds United FC,Aston Villa FC,Leeds United FC,HOME_TEAM,2.0,1.0,REGULAR
2022,Manchester United FC,Manchester City FC,Manchester United FC,Manchester City FC,HOME_TEAM,2.0,1.0,REGULAR
2022,Wolverhampton Wanderers FC,West Ham United FC,Wolverhampton Wanderers FC,West Ham United FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Nottingham Forest FC,Leicester City FC,Nottingham Forest FC,Leicester City FC,HOME_TEAM,2.0,0.0,REGULAR
2022,Everton FC,Southampton FC,Southampton FC,Everton FC,AWAY_TEAM,1.0,2.0,REGULAR
2022,Brighton & Hove Albion FC,Liverpool FC,Brighton & Hove Albion FC,Liverpool FC,HOME_TEAM,3.0,0.0,REGULAR
2022,Brentford FC,AFC Bournemouth,Brentford FC,AFC Bournemouth,HOME_TEAM,2.0,0.0,REGULAR
2022,Newcastle United FC,Fulham FC,Newcastle United FC,Fulham FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Chelsea FC,Crystal Palace FC,Chelsea FC,Crystal Palace FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Tottenham Hotspur FC,Arsenal FC,Arsenal FC,Tottenham Hotspur FC,AWAY_TEAM,0.0,2.0,REGULAR
2022,Crystal Palace FC,Manchester United FC,Draw,Draw,DRAW,1.0,1.0,REGULAR
2022,Manchester City FC,Tottenham Hotspur FC,Manchester City FC,Tottenham Hotspur FC,HOME_TEAM,4.0,2.0,REGULAR
2022,Liverpool FC,Chelsea FC,Draw,Draw,DRAW,0.0,0.0,REGULAR
2022,West Ham United FC,Everton FC,West Ham United FC,Everton FC,HOME_TEAM,2.0,0.0,REGULAR
2022,Southampton FC,Aston Villa FC,Aston Villa FC,Southampton FC,AWAY_TEAM,0.0,1.0,REGULAR
2022,Leicester City FC,Brighton & Hove Albion FC,Draw,Draw,DRAW,2.0,2.0,REGULAR
2022,AFC Bournemouth,Nottingham Forest FC,Draw,Draw,DRAW,1.0,1.0,REGULAR
2022,Crystal Palace FC,Newcastle United FC,Draw,Draw,DRAW,0.0,0.0,REGULAR
2022,Manchester City FC,Wolverhampton Wanderers FC,Manchester City FC,Wolverhampton Wanderers FC,HOME_TEAM,3.0,0.0,REGULAR
2022,Leeds United FC,Brentford FC,Draw,Draw,DRAW,0.0,0.0,REGULAR
2022,Arsenal FC,Manchester United FC,Arsenal FC,Manchester United FC,HOME_TEAM,3.0,2.0,REGULAR
2022,Fulham FC,Tottenham Hotspur FC,Tottenham Hotspur FC,Fulham FC,AWAY_TEAM,0.0,1.0,REGULAR
2022,Chelsea FC,Fulham FC,Draw,Draw,DRAW,0.0,0.0,REGULAR
2022,Everton FC,Arsenal FC,Everton FC,Arsenal FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Wolverhampton Wanderers FC,Liverpool FC,Wolverhampton Wanderers FC,Liverpool FC,HOME_TEAM,3.0,0.0,REGULAR
2022,Manchester United FC,Crystal Palace FC,Manchester United FC,Crystal Palace FC,HOME_TEAM,2.0,1.0,REGULAR
2022,Brighton & Hove Albion FC,AFC Bournemouth,Brighton & Hove Albion FC,AFC Bournemouth,HOME_TEAM,1.0,0.0,REGULAR
2022,Brentford FC,Southampton FC,Brentford FC,Southampton FC,HOME_TEAM,3.0,0.0,REGULAR
2022,Aston Villa FC,Leicester City FC,Leicester City FC,Aston Villa FC,AWAY_TEAM,2.0,4.0,REGULAR
2022,Newcastle United FC,West Ham United FC,Draw,Draw,DRAW,1.0,1.0,REGULAR
2022,Nottingham Forest FC,Leeds United FC,Nottingham Forest FC,Leeds United FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Tottenham Hotspur FC,Manchester City FC,Tottenham Hotspur FC,Manchester City FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Manchester United FC,Leeds United FC,Draw,Draw,DRAW,2.0,2.0,REGULAR
2022,West Ham United FC,Chelsea FC,Draw,Draw,DRAW,1.0,1.0,REGULAR
2022,Southampton FC,Wolverhampton Wanderers FC,Wolverhampton Wanderers FC,Southampton FC,AWAY_TEAM,1.0,2.0,REGULAR
2022,Leicester City FC,Tottenham Hotspur FC,Leicester City FC,Tottenham Hotspur FC,HOME_TEAM,4.0,1.0,REGULAR
2022,Fulham FC,Nottingham Forest FC,Fulham FC,Nottingham Forest FC,HOME_TEAM,2.0,0.0,REGULAR
2022,Crystal Palace FC,Brighton & Hove Albion FC,Draw,Draw,DRAW,1.0,1.0,REGULAR
2022,Arsenal FC,Brentford FC,Draw,Draw,DRAW,1.0,1.0,REGULAR
2022,AFC Bournemouth,Newcastle United FC,Draw,Draw,DRAW,1.0,1.0,REGULAR
2022,Leeds United FC,Manchester United FC,Manchester United FC,Leeds United FC,AWAY_TEAM,0.0,2.0,REGULAR
2022,Manchester City FC,Aston Villa FC,Manchester City FC,Aston Villa FC,HOME_TEAM,3.0,1.0,REGULAR
2022,Liverpool FC,Everton FC,Liverpool FC,Everton FC,HOME_TEAM,2.0,0.0,REGULAR
2022,Arsenal FC,Manchester City FC,Manchester City FC,Arsenal FC,AWAY_TEAM,1.0,3.0,REGULAR
2022,Aston Villa FC,Arsenal FC,Arsenal FC,Aston Villa FC,AWAY_TEAM,2.0,4.0,REGULAR
2022,Wolverhampton Wanderers FC,AFC Bournemouth,AFC Bournemouth,Wolverhampton Wanderers FC,AWAY_TEAM,0.0,1.0,REGULAR
2022,Nottingham Forest FC,Manchester City FC,Draw,Draw,DRAW,1.0,1.0,REGULAR
2022,Everton FC,Leeds United FC,Everton FC,Leeds United FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Chelsea FC,Southampton FC,Southampton FC,Chelsea FC,AWAY_TEAM,0.0,1.0,REGULAR
2022,Brighton & Hove Albion FC,Fulham FC,Fulham FC,Brighton & Hove Albion FC,AWAY_TEAM,0.0,1.0,REGULAR
2022,Brentford FC,Crystal Palace FC,Draw,Draw,DRAW,1.0,1.0,REGULAR
2022,Newcastle United FC,Liverpool FC,Liverpool FC,Newcastle United FC,AWAY_TEAM,0.0,2.0,REGULAR
2022,Manchester United FC,Leicester City FC,Manchester United FC,Leicester City FC,HOME_TEAM,3.0,0.0,REGULAR
2022,Tottenham Hotspur FC,West Ham United FC,Tottenham Hotspur FC,West Ham United FC,HOME_TEAM,2.0,0.0,REGULAR
2022,Fulham FC,Wolverhampton Wanderers FC,Draw,Draw,DRAW,1.0,1.0,REGULAR
2022,West Ham United FC,Nottingham Forest FC,West Ham United FC,Nottingham Forest FC,HOME_TEAM,4.0,0.0,REGULAR
2022,Leicester City FC,Arsenal FC,Arsenal FC,Leicester City FC,AWAY_TEAM,0.0,1.0,REGULAR
2022,Leeds United FC,Southampton FC,Leeds United FC,Southampton FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Everton FC,Aston Villa FC,Aston Villa FC,Everton FC,AWAY_TEAM,0.0,2.0,REGULAR
2022,AFC Bournemouth,Manchester City FC,Manchester City FC,AFC Bournemouth,AWAY_TEAM,1.0,4.0,REGULAR
2022,Crystal Palace FC,Liverpool FC,Draw,Draw,DRAW,0.0,0.0,REGULAR
2022,Tottenham Hotspur FC,Chelsea FC,Tottenham Hotspur FC,Chelsea FC,HOME_TEAM,2.0,0.0,REGULAR
2022,Arsenal FC,Everton FC,Arsenal FC,Everton FC,HOME_TEAM,4.0,0.0,REGULAR
2022,Liverpool FC,Wolverhampton Wanderers FC,Liverpool FC,Wolverhampton Wanderers FC,HOME_TEAM,2.0,0.0,REGULAR
2022,Manchester City FC,Newcastle United FC,Manchester City FC,Newcastle United FC,HOME_TEAM,2.0,0.0,REGULAR
2022,Wolverhampton Wanderers FC,Tottenham Hotspur FC,Wolverhampton Wanderers FC,Tottenham Hotspur FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Chelsea FC,Leeds United FC,Chelsea FC,Leeds United FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Brighton & Hove Albion FC,West Ham United FC,Brighton & Hove Albion FC,West Ham United FC,HOME_TEAM,4.0,0.0,REGULAR
2022,Aston Villa FC,Crystal Palace FC,Aston Villa FC,Crystal Palace FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Arsenal FC,AFC Bournemouth,Arsenal FC,AFC Bournemouth,HOME_TEAM,3.0,2.0,REGULAR
2022,Southampton FC,Leicester City FC,Southampton FC,Leicester City FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Nottingham Forest FC,Everton FC,Draw,Draw,DRAW,2.0,2.0,REGULAR
2022,Liverpool FC,Manchester United FC,Liverpool FC,Manchester United FC,HOME_TEAM,7.0,0.0,REGULAR
2022,Brentford FC,Fulham FC,Brentford FC,Fulham FC,HOME_TEAM,3.0,2.0,REGULAR
2022,AFC Bournemouth,Liverpool FC,AFC Bournemouth,Liverpool FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Tottenham Hotspur FC,Nottingham Forest FC,Tottenham Hotspur FC,Nottingham Forest FC,HOME_TEAM,3.0,1.0,REGULAR
2022,Leicester City FC,Chelsea FC,Chelsea FC,Leicester City FC,AWAY_TEAM,1.0,3.0,REGULAR
2022,Leeds United FC,Brighton & Hove Albion FC,Draw,Draw,DRAW,2.0,2.0,REGULAR
2022,Everton FC,Brentford FC,Everton FC,Brentford FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Crystal Palace FC,Manchester City FC,Manchester City FC,Crystal Palace FC,AWAY_TEAM,0.0,1.0,REGULAR
2022,West Ham United FC,Aston Villa FC,Draw,Draw,DRAW,1.0,1.0,REGULAR
2022,Manchester United FC,Southampton FC,Draw,Draw,DRAW,0.0,0.0,REGULAR
2022,Fulham FC,Arsenal FC,Arsenal FC,Fulham FC,AWAY_TEAM,0.0,3.0,REGULAR
2022,Newcastle United FC,Wolverhampton Wanderers FC,Newcastle United FC,Wolverhampton Wanderers FC,HOME_TEAM,2.0,1.0,REGULAR
2022,Brighton & Hove Albion FC,Crystal Palace FC,Brighton & Hove Albion FC,Crystal Palace FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Southampton FC,Brentford FC,Brentford FC,Southampton FC,AWAY_TEAM,0.0,2.0,REGULAR
2022,Nottingham Forest FC,Newcastle United FC,Newcastle United FC,Nottingham Forest FC,AWAY_TEAM,1.0,2.0,REGULAR
2022,Wolverhampton Wanderers FC,Leeds United FC,Leeds United FC,Wolverhampton Wanderers FC,AWAY_TEAM,2.0,4.0,REGULAR
2022,Southampton FC,Tottenham Hotspur FC,Draw,Draw,DRAW,3.0,3.0,REGULAR
2022,Brentford FC,Leicester City FC,Draw,Draw,DRAW,1.0,1.0,REGULAR
2022,Aston Villa FC,AFC Bournemouth,Aston Villa FC,AFC Bournemouth,HOME_TEAM,3.0,0.0,REGULAR
2022,Chelsea FC,Everton FC,Draw,Draw,DRAW,2.0,2.0,REGULAR
2022,Arsenal FC,Crystal Palace FC,Arsenal FC,Crystal Palace FC,HOME_TEAM,4.0,1.0,REGULAR
2022,Manchester City FC,Liverpool FC,Manchester City FC,Liverpool FC,HOME_TEAM,4.0,1.0,REGULAR
2022,Nottingham Forest FC,Wolverhampton Wanderers FC,Draw,Draw,DRAW,1.0,1.0,REGULAR
2022,Crystal Palace FC,Leicester City FC,Crystal Palace FC,Leicester City FC,HOME_TEAM,2.0,1.0,REGULAR
2022,Brighton & Hove Albion FC,Brentford FC,Draw,Draw,DRAW,3.0,3.0,REGULAR
2022,AFC Bournemouth,Fulham FC,AFC Bournemouth,Fulham FC,HOME_TEAM,2.0,1.0,REGULAR
2022,Arsenal FC,Leeds United FC,Arsenal FC,Leeds United FC,HOME_TEAM,4.0,1.0,REGULAR
2022,Chelsea FC,Aston Villa FC,Aston Villa FC,Chelsea FC,AWAY_TEAM,0.0,2.0,REGULAR
2022,West Ham United FC,Southampton FC,West Ham United FC,Southampton FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Newcastle United FC,Manchester United FC,Newcastle United FC,Manchester United FC,HOME_TEAM,2.0,0.0,REGULAR
2022,Everton FC,Tottenham Hotspur FC,Draw,Draw,DRAW,1.0,1.0,REGULAR
2022,Leicester City FC,Aston Villa FC,Aston Villa FC,Leicester City FC,AWAY_TEAM,1.0,2.0,REGULAR
2022,Leeds United FC,Nottingham Forest FC,Leeds United FC,Nottingham Forest FC,HOME_TEAM,2.0,1.0,REGULAR
2022,AFC Bournemouth,Brighton & Hove Albion FC,Brighton & Hove Albion FC,AFC Bournemouth,AWAY_TEAM,0.0,2.0,REGULAR
2022,Chelsea FC,Liverpool FC,Draw,Draw,DRAW,0.0,0.0,REGULAR
2022,West Ham United FC,Newcastle United FC,Newcastle United FC,West Ham United FC,AWAY_TEAM,1.0,5.0,REGULAR
2022,Manchester United FC,Brentford FC,Manchester United FC,Brentford FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Manchester United FC,Everton FC,Manchester United FC,Everton FC,HOME_TEAM,2.0,0.0,REGULAR
2022,Wolverhampton Wanderers FC,Chelsea FC,Wolverhampton Wanderers FC,Chelsea FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Tottenham Hotspur FC,Brighton & Hove Albion FC,Tottenham Hotspur FC,Brighton & Hove Albion FC,HOME_TEAM,2.0,1.0,REGULAR
2022,Leicester City FC,AFC Bournemouth,AFC Bournemouth,Leicester City FC,AWAY_TEAM,0.0,1.0,REGULAR
2022,Fulham FC,West Ham United FC,West Ham United FC,Fulham FC,AWAY_TEAM,0.0,1.0,REGULAR
2022,Brentford FC,Newcastle United FC,Newcastle United FC,Brentford FC,AWAY_TEAM,1.0,2.0,REGULAR
2022,Aston Villa FC,Nottingham Forest FC,Aston Villa FC,Nottingham Forest FC,HOME_TEAM,2.0,0.0,REGULAR
2022,Southampton FC,Manchester City FC,Manchester City FC,Southampton FC,AWAY_TEAM,1.0,4.0,REGULAR
2022,Leeds United FC,Crystal Palace FC,Crystal Palace FC,Leeds United FC,AWAY_TEAM,1.0,5.0,REGULAR
2022,Liverpool FC,Arsenal FC,Draw,Draw,DRAW,2.0,2.0,REGULAR
2022,Aston Villa FC,Newcastle United FC,Aston Villa FC,Newcastle United FC,HOME_TEAM,3.0,0.0,REGULAR
2022,Wolverhampton Wanderers FC,Brentford FC,Wolverhampton Wanderers FC,Brentford FC,HOME_TEAM,2.0,0.0,REGULAR
2022,Southampton FC,Crystal Palace FC,Crystal Palace FC,Southampton FC,AWAY_TEAM,0.0,2.0,REGULAR
2022,Everton FC,Fulham FC,Fulham FC,Everton FC,AWAY_TEAM,1.0,3.0,REGULAR
2022,Chelsea FC,Brighton & Hove Albion FC,Brighton & Hove Albion FC,Chelsea FC,AWAY_TEAM,1.0,2.0,REGULAR
2022,Tottenham Hotspur FC,AFC Bournemouth,AFC Bournemouth,Tottenham Hotspur FC,AWAY_TEAM,2.0,3.0,REGULAR
2022,Manchester City FC,Leicester City FC,Manchester City FC,Leicester City FC,HOME_TEAM,3.0,1.0,REGULAR
2022,West Ham United FC,Arsenal FC,Draw,Draw,DRAW,2.0,2.0,REGULAR
2022,Nottingham Forest FC,Manchester United FC,Manchester United FC,Nottingham Forest FC,AWAY_TEAM,0.0,2.0,REGULAR
2022,Leeds United FC,Liverpool FC,Liverpool FC,Leeds United FC,AWAY_TEAM,1.0,6.0,REGULAR
2022,Arsenal FC,Southampton FC,Draw,Draw,DRAW,3.0,3.0,REGULAR
2022,Fulham FC,Leeds United FC,Fulham FC,Leeds United FC,HOME_TEAM,2.0,1.0,REGULAR
2022,Liverpool FC,Nottingham Forest FC,Liverpool FC,Nottingham Forest FC,HOME_TEAM,3.0,2.0,REGULAR
2022,Leicester City FC,Wolverhampton Wanderers FC,Leicester City FC,Wolverhampton Wanderers FC,HOME_TEAM,2.0,1.0,REGULAR
2022,Crystal Palace FC,Everton FC,Draw,Draw,DRAW,0.0,0.0,REGULAR
2022,Brentford FC,Aston Villa FC,Draw,Draw,DRAW,1.0,1.0,REGULAR
2022,Newcastle United FC,Tottenham Hotspur FC,Newcastle United FC,Tottenham Hotspur FC,HOME_TEAM,6.0,1.0,REGULAR
2022,AFC Bournemouth,West Ham United FC,West Ham United FC,AFC Bournemouth,AWAY_TEAM,0.0,4.0,REGULAR
2022,Wolverhampton Wanderers FC,Crystal Palace FC,Wolverhampton Wanderers FC,Crystal Palace FC,HOME_TEAM,2.0,0.0,REGULAR
2022,Aston Villa FC,Fulham FC,Aston Villa FC,Fulham FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Leeds United FC,Leicester City FC,Draw,Draw,DRAW,1.0,1.0,REGULAR
2022,Nottingham Forest FC,Brighton & Hove Albion FC,Nottingham Forest FC,Brighton & Hove Albion FC,HOME_TEAM,3.0,1.0,REGULAR
2022,Chelsea FC,Brentford FC,Brentford FC,Chelsea FC,AWAY_TEAM,0.0,2.0,REGULAR
2022,West Ham United FC,Liverpool FC,Liverpool FC,West Ham United FC,AWAY_TEAM,1.0,2.0,REGULAR
2022,Manchester City FC,Arsenal FC,Manchester City FC,Arsenal FC,HOME_TEAM,4.0,1.0,REGULAR
2022,Southampton FC,AFC Bournemouth,AFC Bournemouth,Southampton FC,AWAY_TEAM,0.0,1.0,REGULAR
2022,Everton FC,Newcastle United FC,Newcastle United FC,Everton FC,AWAY_TEAM,1.0,4.0,REGULAR
2022,Tottenham Hotspur FC,Manchester United FC,Draw,Draw,DRAW,2.0,2.0,REGULAR
2022,Crystal Palace FC,West Ham United FC,Crystal Palace FC,West Ham United FC,HOME_TEAM,4.0,3.0,REGULAR
2022,Brighton & Hove Albion FC,Wolverhampton Wanderers FC,Brighton & Hove Albion FC,Wolverhampton Wanderers FC,HOME_TEAM,6.0,0.0,REGULAR
2022,Brentford FC,Nottingham Forest FC,Brentford FC,Nottingham Forest FC,HOME_TEAM,2.0,1.0,REGULAR
2022,Newcastle United FC,Southampton FC,Newcastle United FC,Southampton FC,HOME_TEAM,3.0,1.0,REGULAR
2022,Manchester United FC,Aston Villa FC,Manchester United FC,Aston Villa FC,HOME_TEAM,1.0,0.0,REGULAR
2022,Fulham FC,Manchester City FC,Manchester City FC,Fulham FC,AWAY_TEAM,1.0,2.0,REGULAR
2022,AFC Bournemouth,Leeds United FC,AFC Bournemouth,Leeds United FC,HOME_TEAM,4.0,1.0,REGULAR
2022,Liverpool FC,Tottenham Hotspur FC,Liverpool FC,Tottenham Hotspur FC,HOME_TEAM,4.0,3.0,REGULAR
